,comm_2
0,2252264887
1,252168075
2,204502692
3,3442008615
4,60909246
5,1314666648712998912
6,71360442
7,1208538869286744065
8,351115972
9,1399456345
10,1231041099545923585
11,1164722476062052353
12,1278375378621530121
13,2296379731
14,4740081556
15,1071973252774404096
16,1412113724
17,564042719
18,299375176
19,243582534
20,1329622909661437952
21,1286629976792539137
22,3026382412
23,3432853587
24,334644113
25,1188801412337225729
26,1167510078649487361
27,312707665
28,1942435878
29,1026561440
30,106473747
31,2352751943
32,2581330777
33,1190406452
34,704761532324962304
35,1246977477806903298
36,608739382
37,35680704
38,285739929
39,753039585345699840
40,1333021921877909508
41,102559425
42,288381184
43,870051988528123906
44,1240378500625948673
45,143480186
46,538431275
47,299657399
48,897614167854776320
49,1330626447359270913
50,139612420
51,4516988123
52,113030999
53,534840806
54,2750261889
55,1210378599238422528
56,728400228
57,26992165
58,1266212657272696832
59,182904966
60,2242784476
61,323331296
62,329694280
63,77961758
64,727396977214939136
65,1132504807
66,868944979
67,1363288094
68,888849182542499840
69,2951554437
70,2161989312
71,428700805
72,1626451142
73,1219797248713928704
74,88012615
75,348067918
76,3333351641
77,405924380
78,910392337
79,1325778128439042049
80,1153477850965696514
81,628912277
82,89588977
83,1339776148897734657
84,1169332419327123456
85,1143830919717052416
86,388516633
87,536830737
88,4033060583
89,2787618340
90,1291200052254380034
91,177258828
92,421455872
93,146654293
94,1249725409731715073
95,4173839242
96,419009255
97,1166543037159358464
98,128294195
99,355473749
100,268986132
101,1069728955903676417
102,456322797
103,1015782133082853376
104,239362381
105,1205904163755954176
106,1205486349266149377
107,122767891
108,3432068577
109,1251276349764972544
110,3428489151
111,58127090
112,1271019132306284544
113,1320842148103786497
114,3381871265
115,122580105
116,4755918375
117,259510505
118,701936033798168581
119,1318941966
120,186409563
121,140861542
122,761674181901770754
123,816329407757488129
124,42944306
125,882329788572217344
126,867181968
127,1092059695383281666
128,1944554714
129,1221165908598632449
130,1311811550529888256
131,923371096975568896
132,1294384567063912448
133,826598513630932992
134,853672513
135,1651533434
136,1248031101894955009
137,555631316
138,4057381101
139,232563468
140,68268069
141,546854590
142,69954153
143,586224444
144,4579944141
145,823330596
146,217467287
147,221475537
148,148402220
149,1325645613145468928
150,1339581839581696003
151,140229245
152,148152822
153,1222311636230385664
154,88038547
155,1001899514763120641
156,919749640446267393
157,1352105000185585664
158,1234486162598830081
159,1221803073791762434
160,375032399
161,737109553238691840
162,1279759161459380225
163,2383996573
164,1330064382525583366
165,1165451914693304320
166,374847161
167,2554513900
168,984178032259862530
169,1014453168
170,1177378583565807617
171,78472754
172,4100729848
173,971791521983934466
174,2510167364
175,1301181385051385856
176,950323686103486464
177,898612252722507776
178,1062010454854324225
179,1068504898407473155
180,1295485300261687299
181,453596273
182,3321734585
183,1152268696909504512
184,1970659488
185,2364684243
186,449714289
187,124609719
188,1042532093681528832
189,2258074658
190,149584099
191,155911328
192,837787148589858816
193,159274821
194,1617954954
195,815405120
196,712335069453688832
197,170507245
198,1006287782
199,931564592328781824
200,1295098116346122240
201,130053908
202,742701881902927873
203,4197999257
204,849812617841475588
205,1176934859366944769
206,4321866322
207,4075797497
208,1862162257
209,168014855
210,309072522
211,951684107595075585
212,781895096912449536
213,1367663606721036289
214,200673529
215,1132084412068368384
216,2856938537
217,2163335654
218,1233264558707527681
219,2229279600
220,275666277
221,1335975353463005184
222,1239091746
223,4438097895
224,2718478968
225,554866437
226,1171154016765652992
227,1385843886
228,619208578
229,1245099959470481411
230,102778527
231,1234523636092080131
232,2278234402
233,3990609737
234,68753864
235,1260315856573251585
236,3353861285
237,1021908030403878912
238,343636885
239,758266808
240,227035721
241,1268763070303817729
242,1056891366297481223
243,1084455540238024705
244,1286354405621739520
245,884533848226373632
246,723478814
247,67714448
248,706900961172844546
249,3437292147
250,919555703714525186
251,396312747
252,1306132299600351232
253,1298730989754212352
254,3293258086
255,4496019023
256,1135724934838259712
257,927377684224708608
258,169989491
259,2966488138
260,4473551177
261,1278097334723805184
262,968457972623052800
263,983369808896028672
264,593261945
265,244332572
266,1178376706131922949
267,1296574438679379968
268,2988644655
269,3072443493
270,1356452818509512704
271,1356179700046032896
272,2482962214
273,71633787
274,185743772
275,593340893
276,851251597
