,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
2,1329815581302853632,0,1.0,0.0,0.002808734185523898,7.943073901465066e-06,0.0
4,811607948,0,5.0,0.0,0.0031723455687192002,1.932832742784303e-05,0.4
5,405924380,0,72.0,101575.1781467711,0.00703072817961615,0.00024304792291315918,0.04655712050078247
6,811960507829800960,0,7.0,0.0,0.0002603760883155735,3.083324888041045e-05,0.0
7,3108851163,0,41.0,84006.57990474261,0.005029246791124877,0.00013527253670539142,0.05609756097560976
8,34811840,0,1.0,0.0,8.43890354943007e-05,6.760094294026091e-06,0.0
9,145493922,0,146.0,5647.282356376208,0.010654070358171144,0.0005054220125136527,0.02947567312234294
11,156054222,0,16.0,0.0,0.004697883235247273,6.157597670793136e-05,0.18333333333333332
12,161859001,0,6.0,4694.022010481212,0.003051719145779801,2.2798656814371342e-05,0.13333333333333333
13,927377684224708608,0,21.0,149480.51121872978,0.004523350341276033,7.002457357505086e-05,0.11904761904761904
14,960475608873684992,0,38.0,0.0,0.0044435796616025215,0.00013304573805444903,0.07112375533428165
15,290671142,0,15.0,0.0,0.004518420097862462,5.5690111149239197e-05,0.06666666666666667
16,2585749633,0,30.0,23557.727623093644,0.00429272591058999,0.00010008668329949793,0.07816091954022988
17,1340629915176226825,0,8.0,0.0,0.003280085780716062,3.0064242913646553e-05,0.25
20,4531354456,0,2.0,0.0,0.001046585052954894,1.0420009740456678e-05,0.0
21,141508805,0,20.0,137934.50907408528,0.0009936927056619668,6.96221132739916e-05,0.005263157894736842
23,202984292,0,39.0,0.0,0.004958568416002726,0.00012521125485638582,0.058029689608636977
24,1324927863913656321,0,11.0,4694.022010481212,0.0031602812475805438,3.875092152945015e-05,0.12727272727272726
25,1207261773428068354,0,3.0,0.0,0.00012405191448428156,1.8964250831154136e-05,0.0
26,1092059695383281666,0,101.0,1561.4832555718397,0.007389538478289638,0.00033299918507044074,0.02198019801980198
28,2223272358,0,2.0,0.0,3.902563832930273e-05,1.0218852681503157e-05,0.0
30,62979727,0,21.0,9867.582382129624,0.003962615920667567,6.640414953575801e-05,0.09523809523809523
31,464068963,0,1.0,0.0,0.002808734185523898,7.943073901465066e-06,0.0
32,252168075,0,8207.0,270336415.4919917,0.2803119177986737,0.041041981532373664,0.0005575333659546084
33,1043343131272462336,0,38.0,55051.52482410454,0.005912823998308411,0.00012999659354896,0.10241820768136557
34,4422267497,0,8.0,23840.22320554565,0.0033375472067932637,2.7924017345436108e-05,0.2857142857142857
36,3102885442,0,11.0,2227.7175734968573,0.0035516845257681433,3.830123977548855e-05,0.16363636363636364
37,35961319,0,70.0,6.518609137097775,0.006859810738594848,0.0002248355802539363,0.07204968944099378
38,43814969,0,134.0,48440.1707500832,0.007628286521185383,0.0005158451280699353,0.013915385478621927
